cest;ncm
17.017.01;0401.40.10
17.017.01;0401.50.10
17.018.00;0401.10.90
17.018.00;0401.20.90
17.018.01;0401.10.90
17.018.01;0401.20.90
17.019.00;0401.40.2
17.019.00;0402.21.30
17.019.00;0402.29.30
17.019.00;0402.9
17.019.01;0401.40.2
17.019.01;0402.21.30
17.019.01;0402.29.30
17.019.01;0402.9
17.019.02;0401.10
17.019.02;0401.20
17.019.02;0401.50
17.019.02;0402.10
17.019.02;0402.29.20
17.020.00;402
17.020.00;9
17.020.01;402
17.020.01;9
17.021.00;403
17.021.01;403
17.022.00;0403.90.00
17.023.00;406
17.023.01;406
17.024.00;406
17.024.01;0406.10.10
17.024.02;0406.10.90
17.024.03;0406.10.90
17.024.04;0406.10.90
17.025.00;0405.10.00
17.025.01;0405.10.00
17.025.02;0405.90.90
17.026.00;1517.10.00
17.027.00;1517.10.00
17.027.01;1517.10.00
17.027.02;1517
17.027.02;9
17.028.00;1516.20.00
17.028.01;1516.20.00
17.029.00;1901.90.20
17.030.00;1904.10.00
17.030.00;1904.90.00
17.031.00;1905.90.90
17.032.00;2005.20.00
17.032.00;2005.9
17.033.00;2008
17.033.00;1
17.033.01;2008
17.033.01;1
17.034.00;2103.20.10
17.035.00;2103.90.21
17.035.00;2103.90.91
17.036.00;2103.10.10
17.037.00;2103.30.10
17.038.00;2103.30.21
17.039.00;2103.90.11
17.040.00;2002
17.041.00;2103.20.10
17.042.00;1704.90.90
17.042.00;1904.20.00
17.042.00;1904.90.00
17.043.00;1806.31.20
17.043.00;1806.32.20
17.043.00;1806.90.00
17.044.00;1101.00.10
17.044.01;1101.00.10
17.044.02;1101.00.10
17.044.03;1101.00.10
17.044.04;1101.00.10
17.044.05;1101.00.10
17.044.06;1101.00.10
17.044.07;1101.00.10
17.044.08;1101.00.10
17.044.09;1101.00.10
17.044.10;1101.00.10
17.044.11;1101.00.10
17.044.12;1101.00.10
17.044.13;1101.00.10
17.044.14;1101.00.10
17.044.15;1101.00.10
17.044.16;1101.00.10
17.044.17;1101.00.10
17.044.18;1101.00.10
17.044.19;1101.00.10
17.044.20;1101.00.10
17.044.21;1101.00.10
17.044.22;1101.00.10
17.044.23;1101.00.10
17.044.24;1101.00.10
17.044.25;1101.00.10
17.044.26;1101.00.10
17.044.27;1101.00.10
17.045.00;1101.00.20
17.046.00;1901.20.00
17.046.00;1901.90.90
17.046.01;1901.20.00
17.046.01;1901.90.90
17.046.02;1901.20.00
17.046.02;1901.90.90
17.046.03;1901.20.00
17.046.03;1901.90.90
17.046.04;1901.20.00
17.046.04;1901.90.90
17.046.05;1901.20.00
17.046.05;1901.90.90
17.046.06;1901.20.00
17.046.06;1901.90.90
17.046.07;1901.20.00
17.046.07;1901.90.90
17.046.08;1901.20.00
17.046.08;1901.90.90
17.046.09;1901.20.00
17.046.09;1901.90.90
17.046.10;1901.20.00
17.046.10;1901.90.90
17.046.11;1901.20.00
17.046.11;1901.90.90
17.046.12;1901.20.00
17.046.12;1901.90.90
17.046.13;1901.20.00
17.046.13;1901.90.90
17.046.14;1901.20.00
17.046.14;1901.90.90
17.047.00;1902.30.00
17.048.00;1902
17.048.01;1902.40.00
17.048.02;1902.20.00
17.049.00;1902
17.049.00;1
17.049.01;1902
17.049.01;1
17.049.02;1902
17.049.02;1
17.049.03;1902.19.00
17.049.04;1902.19.00
17.049.05;1902.19.00
17.050.00;1905
17.050.00;2
17.051.00;1905.20.90
17.052.00;1905.20.10
17.053.00;1905.31.00
17.053.01;1905.31.00
17.053.02;1905.31.00
17.054.00;1905.31.00
17.054.01;1905.31.00
17.054.02;1905.31.00
17.056.00;1905.90.20
17.056.01;1905.90.20
17.056.02;1905.90.20
17.057.00;1905.32.00
17.058.00;1905.32.00
17.059.00;1905.40.00
17.060.00;1905.90.10
17.062.00;1905.90.90
17.063.00;1905.10.00
17.064.00;1905
17.064.00;9
17.065.00;1507.90.11
17.066.00;1508
17.067.00;1509
17.067.01;1509
17.067.02;1509
17.068.00;1510.00.00
17.069.00;1512.19.11
17.069.00;1512.29.10
17.070.00;1514
17.070.00;1
17.071.00;1515.19.00
17.072.00;1515.29.10
17.073.00;1512.29.90
17.074.00;1517.90.10
17.075.00;1511
17.075.00;1513
17.075.00;1514
17.075.00;1515
17.075.00;1516
17.075.00;1518
17.076.00;1601.00.00
17.077.00;1601.00.00
17.078.00;1601.00.00
17.079.00;1602
17.079.01;1602.31.00
17.079.02;1602.32.10
17.079.03;1602.32.20
17.079.04;1602.41.00
17.079.05;1602.49.00
17.079.06;1602.50.00
17.080.00;1604
17.080.01;1604.20.10
17.081.00;1604
17.082.00;1605
17.083.00;0210.20.00
17.083.00;0210.99.00
17.083.00;1502
17.084.00;0201
17.084.00;0202
17.084.00;0204
17.084.00;0206
17.085.00;204
17.086.00;0210.99.00
17.086.00;1502.10.19
17.086.00;1502.90.00
17.087.00;0207
17.087.00;0209
17.087.00;0210.99.00
17.087.00;1501
17.087.01;0203
17.087.01;0206
17.087.01;0209
17.087.01;0210.1
17.087.01;0210.99.00
17.087.01;1501
17.088.00;710
17.088.01;710
17.089.00;811
17.089.01;811
17.090.00;2001
17.090.01;2001
17.091.00;2004
17.091.01;2004
17.092.00;2005
17.092.01;2005
17.093.00;2006.00.00
17.093.01;2006.00.00
17.094.00;2007
17.094.01;2007
17.095.00;2008
17.095.01;2008
17.096.00;901
17.096.01;901
17.096.02;901
17.096.03;901
17.096.04;901
17.097.00;0902
17.097.00;1211.90.90
17.097.00;2106.90.90
17.098.00;903
17.099.00;1701.1
17.099.00;1701.99.00
17.099.01;1701.1
17.099.01;1701.99.00
17.099.02;1701.1
17.099.02;1701.99.00
17.100.00;1701.91.00
17.100.01;1701.91.00
17.100.02;1701.91.00
17.101.00;1701.1
