codigo;uf;ex;nacionalfe;importados;estadual;municipal
03038946;SP;;4.20;6.29;7.00;0.00
03038951;SP;;4.20;6.29;7.00;0.00
03038952;SP;;4.20;6.29;7.00;0.00
03038953;SP;;4.20;6.29;7.00;0.00
03038954;SP;;4.20;6.29;7.00;0.00
03038955;SP;;4.20;6.29;7.00;0.00
03038956;SP;;4.20;6.29;7.00;0.00
03038957;SP;;4.20;6.29;7.00;0.00
03038961;SP;;4.20;6.29;7.00;0.00
03038962;SP;;4.20;6.29;7.00;0.00
03038963;SP;;4.20;6.29;7.00;0.00
03038964;SP;;4.20;6.29;7.00;0.00
03038965;SP;;4.20;6.29;7.00;0.00
03038990;SP;;4.20;6.29;7.00;0.00
03039000;SP;;4.20;6.29;7.00;0.00
03043100;SP;;4.20;6.29;7.00;0.00
03043210;SP;;4.20;6.29;7.00;0.00
03043290;SP;;4.20;6.29;7.00;0.00
03043300;SP;;4.20;6.29;7.00;0.00
03043900;SP;;4.20;6.29;7.00;0.00
03044100;SP;;4.20;6.29;7.00;0.00
03044200;SP;;4.20;6.29;7.00;0.00
03044300;SP;;4.20;6.29;7.00;0.00
03044400;SP;;4.20;6.29;7.00;0.00
03044500;SP;;4.20;6.29;7.00;0.00
03044600;SP;;4.20;6.29;7.00;0.00
03044910;SP;;4.20;6.29;7.00;0.00
03044920;SP;;4.20;6.29;7.00;0.00
03044990;SP;;4.20;6.29;7.00;0.00
03045100;SP;;4.20;6.29;7.00;0.00
03045200;SP;;4.20;6.29;7.00;0.00
03045300;SP;;4.20;6.29;7.00;0.00
03045400;SP;;4.20;6.29;7.00;0.00
03045500;SP;;4.20;6.29;7.00;0.00
03045900;SP;;4.20;6.29;7.00;0.00
03046100;SP;;4.20;6.29;7.00;0.00
03046210;SP;;4.20;6.29;7.00;0.00
03046290;SP;;4.20;6.29;7.00;0.00
03046300;SP;;4.20;6.29;7.00;0.00
03046900;SP;;4.20;6.29;7.00;0.00
03047100;SP;;4.20;6.29;7.00;0.00
03047200;SP;;4.20;6.29;7.00;0.00
03047300;SP;;4.20;6.29;7.00;0.00
03047400;SP;;4.20;6.29;7.00;0.00
03047500;SP;;4.20;6.29;7.00;0.00
03047900;SP;;4.20;6.29;7.00;0.00
03048100;SP;;4.20;6.29;7.00;0.00
03048200;SP;;4.20;6.29;7.00;0.00
03048300;SP;;4.20;6.29;7.00;0.00
03048400;SP;;4.20;6.29;7.00;0.00
03048510;SP;;4.20;6.29;7.00;0.00
03048520;SP;;4.20;6.29;7.00;0.00
03048600;SP;;4.20;6.29;7.00;0.00
03048700;SP;;4.20;6.29;7.00;0.00
03048910;SP;;4.20;6.29;7.00;0.00
03048920;SP;;4.20;6.29;7.00;0.00
03048930;SP;;4.20;6.29;7.00;0.00
03048940;SP;;4.20;6.29;7.00;0.00
03048990;SP;;4.20;6.29;7.00;0.00
03049100;SP;;4.20;6.29;7.00;0.00
03049211;SP;;4.20;6.29;7.00;0.00
03049212;SP;;4.20;6.29;7.00;0.00
03049219;SP;;4.20;6.29;7.00;0.00
03049221;SP;;4.20;6.29;7.00;0.00
03049222;SP;;4.20;6.29;7.00;0.00
03049229;SP;;4.20;6.29;7.00;0.00
03049300;SP;;4.20;6.29;7.00;0.00
03049400;SP;;4.20;6.29;7.00;0.00
03049500;SP;;4.20;6.29;7.00;0.00
03049900;SP;;4.20;6.29;7.00;0.00
03051000;SP;;13.45;15.54;7.00;0.00
03052000;SP;;13.45;15.54;7.00;0.00
03053100;SP;;13.45;15.54;7.00;0.00
03053210;SP;;13.45;15.45;7.00;0.00
03053220;SP;;13.45;15.54;7.00;0.00
03053290;SP;;13.45;15.54;7.00;0.00
03053910;SP;;13.45;15.54;7.00;0.00
03053990;SP;;13.45;15.54;7.00;0.00
03054100;SP;;13.50;15.59;7.00;0.00
03054200;SP;;13.50;15.59;7.00;0.00
03054300;SP;;13.45;15.54;7.00;0.00
03054400;SP;;13.45;15.54;7.00;0.00
03054910;SP;;13.50;15.50;7.00;0.00
03054920;SP;;13.45;15.54;7.00;0.00
03054990;SP;;13.45;15.54;7.00;0.00
03055100;SP;;13.50;15.50;7.00;0.00
03055910;SP;;13.50;15.50;7.00;0.00
03055990;SP;;13.50;15.59;7.00;0.00
03056100;SP;;13.50;15.59;7.00;0.00
03056200;SP;;13.50;15.50;7.00;0.00
03056300;SP;;13.45;15.54;7.00;0.00
03056400;SP;;13.45;15.54;7.00;0.00
03056910;SP;;13.45;15.54;7.00;0.00
03056990;SP;;13.45;15.54;7.00;0.00
03057100;SP;;13.45;15.54;7.00;0.00
03057100;SP;01;13.50;15.59;7.00;0.00
03057200;SP;;13.50;15.59;7.00;0.00
03057200;SP;01;13.45;15.54;7.00;0.00
03057200;SP;02;13.45;15.54;7.00;0.00
03057900;SP;;13.50;15.59;7.00;0.00
03057900;SP;01;13.45;15.54;7.00;0.00
03057900;SP;02;13.45;15.54;7.00;0.00
03061110;SP;;13.45;15.54;7.00;0.00
03061190;SP;;13.45;15.54;7.00;0.00
03061200;SP;;13.45;15.54;7.00;0.00
03061400;SP;;13.45;15.54;7.00;0.00
03061500;SP;;13.45;15.54;7.00;0.00
